from,to,share
EP424,E100000000890,100.0
EP425,E100000000890,100.0
EP426,E100000000890,100.0
EP427,E100000000890,100.0
EP428,E100000001354,100.0
EP429,E100000001354,100.0
EP430,E100001011718,100.0
EP431,E100001000329,100.0
EP432,E100001000329,100.0
EP433,E100000002383,100.0
EP434,E100000002383,100.0
EP435,E100000002383,100.0
EP436,E100000002383,100.0
EP437,E100000002383,100.0
EP438,E100000002383,100.0
EP439,E100000002383,100.0
EP440,E100000002383,100.0
EP441,E100000002437,100.0
EP442,E100000002437,100.0
EP443,E100000002437,100.0
EP444,E100000002437,100.0
EP445,E100000002437,100.0
EP446,E100000001354,100.0
EP447,E100000001354,100.0
EP448,E100000001354,100.0
EP449,E100000001354,100.0
EP450,E100000001354,100.0
EP451,E100000001354,100.0
EP452,E100000001354,100.0
EP453,E100000001354,100.0
EP454,E100000000890,100.0
EP455,E100000000890,100.0
EP456,E100000000890,100.0
EP457,E100000000890,100.0
EP458,E100000000890,100.0
EP459,E100000000890,100.0
EP460,E100000000890,100.0
EP461,E100000000890,100.0
EP462,E100000000890,100.0
EP463,E100001011728,100.0
EP464,E100000002431,100.0
EP465,E100000003672,100.0
EP466,E100000003672,100.0
EP467,E100000003672,100.0
EP468,E100001011192,
EP468,E100000003289,100.0
EP469,E100000002023,100.0
EP470,E100000002023,100.0
EP471,E100000004293,100.0
EP472,E100000002016,100.0
EP473,E100000002016,100.0
EP474,E100000002023,100.0
EP475,E100000002023,100.0
EP476,E100000000407,100.0
EP477,E100000000407,100.0
EP478,E100000000407,100.0
EP479,E100000000407,100.0
EP480,E100000000407,100.0
EP481,E100000001876,100.0
EP482,E100000002125,100.0
EP483,E100000002125,100.0
EP484,E100000002125,100.0
EP485,E100000002899,100.0
EP486,E100000001757,100.0
EP487,E100000001757,100.0
EP488,E100000002435,100.0
EP488,E100001013448,100.0
EP489,E100000002435,100.0
EP489,E100001013448,100.0
EP490,E100000002435,100.0
EP490,E100001013448,100.0
EP491,E100000002435,100.0
EP491,E100001013448,100.0
EP492,E100000002435,100.0
EP492,E100001013448,100.0
EP493,E100000002435,100.0
EP493,E100001013448,100.0
EP494,E100000002435,100.0
EP494,E100001013448,100.0
EP495,E100000000724,100.0
EP496,E100000000724,100.0
EP497,E100001000329,100.0
EP498,E100000000890,100.0
EP499,E100000000890,100.0
EP500,E100000000890,100.0
EP501,E100000004358,100.0
EP502,E100000001354,100.0
EP503,E100000001354,100.0
EP504,E100000001354,100.0
EP505,E100000001354,100.0
EP506,E100000001354,100.0
EP507,E100000001354,100.0
EP508,E100000001354,100.0
EP509,E100000001354,100.0
EP510,E100000002005,100.0
EP511,E100000002005,100.0
EP512,E100000002005,100.0
EP513,E100000002652,100.0
EP514,E100000002125,100.0
EP515,E100000002125,100.0
EP516,E100000002125,100.0
EP517,E100000002125,100.0
EP518,E100000002005,100.0
EP519,E100000002005,100.0
EP520,E100000002005,100.0
EP521,E100000004255,100.0
EP522,E100000004255,100.0
EP523,E100000003810,100.0
EP523,E100001015150,100.0
EP524,E100000003810,100.0
EP524,E100001015150,100.0
EP525,E100000003810,100.0
EP525,E100001015150,100.0
EP526,E100000121062,100.0
EP527,E100000002438,100.0
EP528,E100000001797,100.0
EP529,E100000001797,100.0
EP530,E100000002492,100.0
EP531,E100000001023,100.0
EP532,E100000001023,100.0
EP533,E100000001023,100.0
EP534,E100000001023,100.0
EP535,E100000001023,100.0
EP536,E100000001023,100.0
EP537,E100000001023,100.0
EP538,E100000001023,100.0
EP539,E100000001023,100.0
EP540,E100000001023,100.0
EP541,E100000002016,100.0
EP542,E100000002143,100.0
EP543,E100000002143,100.0
EP544,E100000002143,100.0
EP545,E100000002143,100.0
EP546,E100001011871,
EP547,E100001011749,
EP548,E100000000380,100.0
EP549,E100000002201,100.0
EP550,E100000002201,100.0
EP551,E100000001870,50.0
EP551,E100000004196,25.0
EP551,E100000000387,25.0
EP552,E100000001870,50.0
EP552,E100000004196,25.0
EP552,E100000000387,25.0
EP553,E100001011900,100.0
EP554,E100001011900,100.0
EP555,E100001011900,100.0
EP556,E100001011900,100.0
EP557,E100000001755,100.0
EP558,E100000001755,100.0
EP559,E100000001755,100.0
EP560,E100000001755,100.0
EP561,E100000001755,100.0
EP562,E100000001755,100.0
EP563,E100000001755,100.0
EP564,E100000001755,100.0
EP565,E100000002375,100.0
EP565,E100001013272,100.0
EP566,E100000000551,100.0
EP567,E100000002541,100.0
EP568,E100000002343,100.0
EP569,E100000002343,100.0
EP570,E100000002343,100.0
EP571,E100000000655,100.0
EP572,E100000002839,100.0
EP573,E100000002839,100.0
EP574,E100000002268,100.0
EP574,E100000138498,100.0
EP575,E100000002445,100.0
EP576,E100000004161,100.0
EP577,E100000000552,100.0
EP578,E100000000552,100.0
EP579,E100000002111,100.0
EP580,E100000002111,100.0
EP581,E100000000608,100.0
EP582,E100000002371,85.0
EP582,E100000001855,15.0
EP583,E100000001533,100.0
EP584,E100000001533,100.0
EP585,E100000001533,100.0
EP586,E100000001533,100.0
EP587,E100000001533,100.0
EP588,E100000001771,100.0
EP589,E100000001572,100.0
EP590,E100000001572,100.0
EP591,E100000001572,100.0
EP592,E100000001572,100.0
EP593,E100000140130,100.0
