Name,gas capacity,coal plant capacity,bioenergy plant capacity,coal mine capacity,steel plant capacity,ID,Entity Type,Legal Entity Type,PubliclyListed,Country
Acegas-Aps,4990.0,0.0,0.0,0.0,0.0,E100000002397,legal entity,SpA,,
Acerinox,0.0,0.0,0.0,0.0,170400.0,E100000130743,legal entity,SA,True,Spain
Acerinox Europa,0.0,0.0,0.0,0.0,90000.0,E100000130989,legal entity,SAU,False,Spain
Aceros Especiales Simec Tlaxcala,0.0,0.0,0.0,0.0,65500.0,E100000131089,legal entity,SA de CV,False,Mexico
Aceros Turia,0.0,0.0,0.0,0.0,63500.0,E100001016337,legal entity,Inc,,United States
Achemos Grupe,6800.0,0.0,0.0,0.0,0.0,E100000000684,legal entity,,False,Lithuania
Acindar Industria Argentina de Aceros,0.0,0.0,0.0,0.0,580.0079999999999,E100001010109,legal entity,SA,False,Argentina
Aco Verde do Brasil,0.0,0.0,0.0,0.0,60000.0,E100000130886,legal entity,SA,False,Brazil
Actis,323343.5333333333,0.0,0.0,0.0,0.0,E100000001092,legal entity,LLP,False,United Kingdom
Actividades de Construcción y Servicios,80000.0,0.0,0.0,0.0,0.0,E100000000965,legal entity,SA,,Spain
Ad Dhahirah Generation Company,1222.4665530000002,0.0,0.0,0.0,0.0,E100000002398,legal entity,SAOC,False,Oman
Adani Enterprises,0.0,0.0,0.0,3964.428,0.0,E100001000761,legal entity,Ltd,True,India
Adani Global,0.0,0.0,0.0,4728.0,0.0,E100001000902,legal entity,Pte Ltd,False,Singapore
Adani Global,0.0,0.0,0.0,4728.0,0.0,E100001000903,legal entity,Ltd,False,Mauritius
Adani Mining,0.0,0.0,0.0,2364.0,0.0,E100001000566,legal entity,Pty Ltd,False,Australia
Adani Power,0.0,164523.34800000003,0.0,0.0,0.0,E100001000558,legal entity,Ltd,True,India
Adani Tradeline,0.0,164523.34800000003,0.0,3964.428,0.0,E100001016340,legal entity,Pvt Ltd,False,India
