from,to,share
E100001000516,E100001000521,5.93
E100001001119,E100000123261,
E100001010148,E100000123261,100.0
E100001000522,E100001015587,21.03
E100001000519,E100001015587,46.43
E100001010033,E100001010037,13.51
E100001010033,E100001001119,11.12
E100001010033,E100001010036,11.12
E100001010033,E100001016565,11.12
E100001010033,E100000123261,22.16
E100001010033,E100001015587,30.97
E100000002723,E100000000382,100.0
E100000000863,E100001011147,57.8
E100000000863,E100001011148,25.0
E100000120077,E100000121580,100.0
E100000002463,E100000000107,100.0
E100000002465,E100000001248,100.0
E100001000205,E100001011378,100.0
E100000001102,E100000001247,100.0
E100000004084,E100000001140,100.0
E100000002467,E100000001262,100.0
E100000000864,E100001000094,62.2
E100000003018,E100000000864,100.0
E100000000864,E100001010819,12.37
E100000000864,E100000001471,9.61
E100000000537,E100001000084,100.0
E100001011840,E100001011839,
E100001011977,E100001011978,100.0
E100001011763,E100001011764,15.07
E100001011763,E100001011765,15.07
E100001011763,E100001011766,15.07
E100001011763,E100001011767,15.07
E100001011763,E100001011768,9.35
E100001011763,E100001011707,6.59
E100000002893,E100000000586,100.0
E100000003791,E100000000597,100.0
E100000002842,E100000001194,100.0
E100000002800,E100000000585,100.0
E100000000039,E100001000100,100.0
E100000002470,E100000000039,100.0
E100000004274,E100000000047,100.0
E100000122695,E100000123344,9.32
E100000002471,E100000001368,19.77
E100000002471,E100000122695,9.94
E100000122695,E100000125834,90.0
E100000002471,E100000125835,70.29
E100000123344,E100000126060,100.0
E100000122695,E100000001753,0.68
E100000001829,E100001011308,100.0
E100001011308,E100001015377,
E100000000473,E100001014965,40.1
E100000000473,E100001014966,31.18
E100000001865,E100000000354,100.0
E100000001995,E100001010949,100.0
E100000001775,E100001000250,100.0
E100000002473,E100000000382,
E100000002473,E100000001232,
E100000002473,E100000000131,
E100000002473,E100000001236,
E100000002473,E100000000583,
E100000002473,E100000000733,
E100000002473,E100000000582,
E100000002473,E100000000428,
E100000002473,E100000001753,
E100000002472,E100000000583,
E100000002472,E100000001236,
E100000002472,E100000000582,
E100000002472,E100000000428,
E100000002472,E100000001753,
E100000002472,E100000000733,
E100000002890,E100000001143,100.0
E100000001143,E100001010205,100.0
E100000003729,E100000003729,100.0
E100001011930,E100001011933,15.02
E100001011930,E100001011932,15.02
E100001011930,E100001011934,9.01
E100001011930,E100001011935,7.51
E100001011930,E100001011936,5.99
E100001011930,E100001011937,5.26
E100000003455,E100000000869,100.0
E100000000869,E100001015587,100.0
E100001001026,E100000000608,64.93
E100000002936,E100001001026,93.55
E100001001026,E100001015587,35.07
E100000003025,E100000002899,100.0
E100000003640,E100000001642,100.0
E100000001999,E100001011186,80.0
E100000001806,E100000123261,
E100000000813,E100001000104,26.37
E100000000813,E100001000105,47.46
E100001000601,E100000000813,100.0
E100000120098,E100001000601,100.0
E100000000813,E100001015587,26.11
E100000000813,E100000123261,0.06
E100001000104,E100002000141,27.88
E100001000104,E100000123261,14.17
E100001000104,E100001015587,57.95
E100000002475,E100000000374,17.0
E100000002475,E100000001753,30.0
E100000002475,E100000002248,53.0
E100000002162,E100001011405,42.2
E100001015848,E100000123261,
E100000131066,E100001016132,100.0
E100001000384,E100001015587,21.9
E100001016133,E100001000384,100.0
E100001016132,E100001016133,100.0
E100001000384,E100001015848,78.1
E100001000376,E100001000233,100.0
E100000002476,E100001000376,
E100000002476,E100001000377,
E100000002989,E100000001209,100.0
E100000004351,E100000000707,100.0
E100000000707,E100001010832,44.34
E100000000707,E100001000412,5.25
E100000003123,E100000000171,24.0
E100000003123,E100000000194,76.0
E100001010441,E100000004351,45.0
E100001010441,E100000003123,45.0
E100001010441,E100000000358,10.0
E100000000194,E100000125565,100.0
E100000002477,E100000001386,100.0
E100000000457,E100000001753,0.88
E100001000271,E100000000457,100.0
E100000000457,E100001000253,99.12
E100000004269,E100001000271,100.0
E100000004265,E100000001139,100.0
E100000003968,E100000000927,100.0
E100001000576,E100001000088,100.0
E100000000927,E100001015587,72.93
E100001010403,E100001000088,100.0
E100000000927,E100001010403,18.74
E100000000927,E100001000576,8.33
E100000003291,E100000000084,100.0
E100000004135,E100000000135,
E100000004135,E100000000172,
E100000004135,E100000000117,
E100000004135,E100000000173,
E100000000173,E100001014866,
E100000000135,E100001015587,
E100000002479,E100000001248,100.0
E100000002483,E100000000923,27.0
E100000002483,E100000000651,25.0
E100000002483,E100000000928,10.0
E100000002483,E100000000382,38.0
E100000001483,E100000000360,100.0
E100000003742,E100000001753,18.76
E100000003742,E100000001483,29.45
E100000000360,E100000001640,51.26
E100000003742,E100001010702,51.79
E100000003450,E100000001471,100.0
E100000004329,E100000001327,100.0
E100000004330,E100000001734,100.0
E100000002485,E100000000752,100.0
E100000002486,E100000001099,54.0
E100000002486,E100000000769,23.0
E100000002486,E100000000672,23.0
E100000000769,E100001000085,100.0
E100000000067,E100000000058,22.02
E100000000067,E100001000285,19.73
E100000000067,E100001000286,10.77
E100000000067,E100001000287,5.44
E100000000067,E100001000288,5.05
E100000000067,E100000001753,36.55
E100001011665,E100000001092,
E100001011665,E100000000710,
E100001011665,E100000000723,21.0
E100000002488,E100001011666,97.5
E100001011666,E100001011665,
E100000003994,E100001001031,40.0
E100000003994,E100000002001,50.0
E100000003994,E100000000677,5.0
E100000003994,E100000000676,5.0
E100000002003,E100001000319,100.0
E100000004086,E100000001228,
E100000004086,E100000001310,
E100000004086,E100000001187,
E100000004086,E100000001227,
E100000004172,E100000000746,100.0
E100000000980,E100001000348,5.31
E100000000980,E100001015587,94.69
E100000002500,E100000001096,75.0
E100000002500,E100000002119,25.0
E100000001096,E100001000615,25.79
E100000001096,E100001000348,9.31
