company_id,plant_id,powerplant_unit_id,share
E100001012245,,G100001001179,100.0
E100001000020,L100001000030,,80.0
E100000000380,L100001000036,,
E100000001373,L100001000002,,100.0
E100000001481,L100001000055,,
E100001000011,L100001000009,,
E100000001481,L100001000056,,
E100001000036,L100001000030,,
E100000001481,L100001000059,,
E100001000425,L100001000073,,
E100000004306,L100000104242,,100.0
E100000001728,L100001000050,,
E100000148930,,G100000901434,
E100000000333,L100001000067,,
E100001000003,L100001000030,,20.0
E100000002411,L100001000066,,
E100000120662,L100001000014,,100.0
E100000002183,L100000104093,,100.0
E100001000157,L100001000037,,
E100001000426,L100001000075,,
E100000134467,,G100000801057,
E100000004256,L100000104146,,100.0
E100000135929,,G100000818513,100.0
E100000149127,,G100000927621,100.0
E100001000043,L100001000035,,
E100000000476,L100001000032,,
E100000149125,,G100000927618,100.0
E100001000336,L100001000062,,
E100000001728,L100000400492,,100.0
E100001000001,L100001000004,,100.0
E100001000017,L100001000017,,
E100000001481,L100001000060,,
E100000001637,L100001000003,,
E100001000013,L100001000012,,
E100000001481,L100001000053,,
E100001000315,L100001000052,,
E100001000010,L100000400564,,100.0
E100000004084,,G100000108013,85.94
E100001000019,L100001000020,,100.0
E100000001477,L100000400499,,100.0
E100000000457,L100001000049,,
E100000001481,L100000101842,,
E100000001652,L100001000021,,
E100001012246,,G100001001180,100.0
E100000001529,L100000100961,,100.0
E100000000473,L100001000031,,
E100000122613,L100000101224,,100.0
E100000000476,L100001000029,,
E100000001612,L100000103212,,
E100000120435,L100001000079,,
E100000001096,L100001000034,,
E100000149127,,G100000927620,100.0
E100000002184,L100000103943,,100.0
E100000002269,L100000104225,,100.0
E100000000027,L100001000039,,
E100001000351,L100001000068,,
E100001001213,L100000103915,,100.0
E100000000457,L100001000051,,
E100001000409,L100001000071,,
E100000001474,,G100000400328,100.0
E100000000333,L100001000065,,
E100000002306,,G100000106922,8.16
E100001000069,L100000103219,,
E100000120465,,G100000114247,
E100000000986,L100001000043,,
E100000001728,L100001000008,,100.0
E100000121227,,G100000101512,10.0
E100000149131,,G100000911050,100.0
E100000003498,L100000104204,,100.0
E100000003593,L100000104092,,100.0
E100000002769,L100000104270,,100.0
E100000002295,,G100000108013,11.72
E100000156209,,G100000801805,44.14
