census_tract_2010_id,county_name,state_territory,percent_black_or_african_american_alone,percent_american_indian___alaska_native,percent_asian,percent_native_hawaiian_or_pacific,percent_two_or_more_races,percent_white,percent_hispanic_or_latino,percent_other_races,percent_age_under_10,percent_age_10_to_64,percent_age_over_64,total_threshold_criteria_exceeded,total_categories_exceeded,identified_as_disadvantaged_without_considering_neighbors,identified_as_disadvantaged_based_on_neighbors_and_relaxed_low_income_threshold_only,identified_as_disadvantaged,total_population,adjusted_percent_of_individuals_below_200pct_federal_poverty_line_percentile,adjusted_percent_of_individuals_below_200pct_federal_poverty_line,is_low_income,expected_agricultural_loss_rate_natural_hazards_risk_index,expected_building_loss_rate_natural_hazards_risk_index,expected_population_loss_rate_natural_hazards_risk_index,share_of_properties_at_risk_of_fire_in_30_years,energy_burden,housing_burden_percent,median_value_usd_of_owner-occupied_housing_units,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent_percentile,does_the_tract_have_at_least_35_acres_in_it,current_asthma_among_adults_aged_greater_than_or_equal_to_18_years,diagnosed_diabetes_among_adults_aged_greater_than_or_equal_to_18_years,coronary_heart_disease_among_adults_aged_greater_than_or_equal_to_18_years,life_expectancy_years,unemployment_percent,percent_of_individuals_below_200pct_federal_poverty_line,percent_of_individuals_below_100pct_federal_poverty_line
6001404700,Alameda County,California,0.05,0.0,0.13,0.0,0.03,0.69,0.09,0.01,0.13,0.67,0.19,0,0.0,False,False,False,2137.0,0.02,0.0,False,0.0118,0.0008,0.0,0.0,0.0,3.0,1044200.0,2545.0,32.0,True,810.0,740.0,420.0,82.5,3.0,4.0,3.0
6001404800,Alameda County,California,0.15,0.03,0.11,0.0,0.1,0.49,0.14,0.01,0.08,0.75,0.16,0,0.0,False,False,False,2647.0,0.26,0.11,False,0.0,0.0006,0.0,0.0,1.0,28.0,870300.0,5139.0,68.0,True,890.0,840.0,420.0,85.2,6.0,21.0,6.0
6001404900,Alameda County,California,0.09,0.01,0.16,0.0,0.07,0.56,0.11,0.0,0.13,0.66,0.19,0,0.0,False,False,False,4197.0,0.19,0.07,False,0.0,0.001,0.0,0.0,1.0,15.0,880200.0,6284.0,82.0,True,850.0,819.0,400.0,85.8,1.0,11.0,3.0
6001405000,Alameda County,California,0.11,0.0,0.11,0.0,0.09,0.61,0.07,0.01,0.12,0.67,0.19,0,0.0,False,False,False,3394.0,0.13,0.04,False,0.0,0.0006,0.0,0.0,0.0,10.0,1037200.0,5254.0,70.0,True,840.0,700.0,370.0,81.3,2.0,8.0,4.0
6001405100,Alameda County,California,0.13,0.0,0.1,0.0,0.08,0.65,0.03,0.01,0.11,0.67,0.2,0,0.0,False,False,False,4285.0,0.08,0.01,False,0.0,0.0005,0.0,0.0,0.0,4.0,1358800.0,4112.0,54.0,True,800.0,730.0,409.0,82.4,1.0,4.0,2.0
6001405200,Alameda County,California,0.11,0.0,0.31,0.0,0.07,0.38,0.15,0.02,0.07,0.78,0.14,0,0.0,False,False,False,5183.0,0.35,0.15,False,0.0,0.0007,0.0,0.0,1.0,26.0,888900.0,6863.0,88.0,True,840.0,810.0,360.0,84.9,4.0,23.0,5.0
6001405301,Alameda County,California,0.11,0.0,0.1,0.0,0.08,0.52,0.18,0.11,0.08,0.79,0.11,0,0.0,False,False,False,2954.0,0.24,0.1,False,0.0,0.0006,0.0,0.0,0.0,34.0,682000.0,7734.0,93.0,True,880.0,630.0,290.0,80.0,4.0,17.0,11.0
6001405302,Alameda County,California,0.13,0.0,0.42,0.0,0.05,0.3,0.08,0.02,0.05,0.75,0.18,7,5.0,True,False,True,2373.0,0.67,0.32,True,0.0,0.0011,0.0,0.0,1.0,38.0,585900.0,8263.0,96.0,True,890.0,1160.0,540.0,79.5,5.0,39.0,13.0
6001405401,Alameda County,California,0.17,0.0,0.35,0.0,0.05,0.2,0.22,0.17,0.08,0.79,0.11,2,1.0,True,False,True,3648.0,0.48,0.21,False,0.0,0.0005,0.0,0.0,1.0,42.0,498800.0,8001.0,95.0,True,850.0,1000.0,390.0,80.8,6.0,35.0,15.0
6001405402,Alameda County,California,0.26,0.01,0.27,0.03,0.04,0.17,0.21,0.16,0.11,0.8,0.07,4,3.0,True,False,True,3357.0,0.68,0.33,True,0.0,0.0005,0.0,0.0,1.0,42.0,573700.0,7689.0,93.0,True,880.0,1170.0,459.0,76.0,5.0,43.0,17.0
6001405500,Alameda County,California,0.22,0.01,0.41,0.01,0.04,0.21,0.09,0.01,0.09,0.76,0.14,0,0.0,False,False,False,3880.0,0.39,0.17,False,0.0,0.0006,0.0,0.0,1.0,35.0,687900.0,7154.0,90.0,True,850.0,950.0,380.0,78.7,4.0,29.0,17.0
